NOM_ZM,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,P_15YMAS,P_18YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,P15SEC_CO,P18YM_PB,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PROM_OCUP,PRO_OCUP_C
Monterrey,5341177,2671686,2669491,238040,271721,508476,251268,250658,3667264,585321,4053903,3803245,1265248,633974,268335,196328,51184,1139920,2045509,1621013,2615919,1031427,1584492,51438,1016652,3435684,373515,321328,4147820,628617,4939,526148,1522975,415892,5327136,1342743,3984393,1836943,1523359,54,7,352344,1515133,1511810,206290,37301,1512336,1513225,1471433,1328378,155223,1456660,753248,1422699,1097100,475373,91370,84308,33601,37719,3.0,0.4
Morelia,988704,512204,476500,42869,47705,95869,48350,48437,669551,121856,752109,703672,117830,60392,26484,48242,22364,149959,384616,282888,503461,224019,279442,9910,325482,421003,136101,14664,823406,63612,1754,94137,283050,100907,979940,320079,659861,380322,283286,9,2,69395,281601,275432,255451,126451,277272,279363,266308,225483,42659,267080,136423,264781,179320,66084,22606,20906,6457,10340,3.0,0.7
Moroleón-Uriangato,108755,56421,52334,4310,4525,9503,5122,5326,73461,16623,85295,79969,8083,4083,844,4958,4766,19922,24508,31470,57740,25905,31835,891,23613,15035,63169,1361,98135,4953,81,5505,31621,11480,108659,37406,71253,42775,31635,6,0,9033,31524,31356,29790,13924,31245,31379,30389,26675,11400,30351,10355,26664,14312,3485,2611,2001,639,1167,3.0,0.0
Mérida,1316088,677388,638700,49802,58143,115139,58887,60705,916054,167870,1031242,970537,223031,116010,80008,72652,28621,216291,551245,394784,683372,294328,389044,9342,295114,739034,146068,52357,995537,176841,2757,135478,392419,134734,1313792,423632,890160,485739,392597,34,9,128445,389869,388032,337479,78404,381787,380733,367525,315343,120235,371108,196104,369294,255730,114861,36439,31168,10341,14199,3.1,0.8
Nogales,264782,132522,132260,11700,13830,29326,15464,14510,181090,21032,194383,179873,65709,32654,10440,9328,1928,59818,94050,72196,133861,56254,77607,2255,47264,168266,25355,7162,178047,39392,217,46456,78358,28048,263110,92410,170700,90150,78396,3,0,20539,77788,74798,59879,6722,77558,77518,75296,65122,4184,74094,36200,74826,55551,21989,4121,4202,1506,1553,3.0,0.0
Nuevo Laredo,425058,215616,209442,19573,23199,46885,23316,22714,283982,42464,311814,289100,123586,64692,12832,19082,6417,86572,132035,125838,205215,82426,122789,3405,111510,234858,50327,7497,293922,72396,359,57544,120296,38422,423829,127064,296765,143080,120335,3,0,35279,119687,119394,27656,5307,119126,119404,116060,101964,14804,114983,47667,110558,70540,25965,8616,8798,3002,3342,3.0,0.0
Oaxaca,709361,375752,333609,29131,35091,68076,34885,35197,481764,84348,538639,503442,54357,29146,16880,33173,16148,106807,284756,196343,368746,174430,194316,6144,261184,202909,144514,5933,519822,105608,1040,78678,193539,71769,706558,241693,464865,246856,193650,70,13,59055,190437,174069,172443,77886,180019,185953,168062,123933,42816,170529,89799,179794,113507,31822,15499,14571,4697,7433,3.0,0.6
Ocotlán,184603,93984,90619,10220,10673,21290,10236,10065,117035,21733,132073,122008,12408,6162,3039,9925,5268,32628,44824,53329,87166,35403,51763,1207,49721,95587,32198,1566,172800,6836,95,4639,47706,15757,184039,57289,126750,60467,47734,10,2,13450,47383,46916,38401,17586,47082,47204,44484,37409,23199,44691,16364,42373,25531,7383,5017,4080,1512,2009,3.3,0.7
Orizaba,465175,245492,219683,19012,21861,46689,23833,24689,308053,65949,353720,329031,30691,17168,7036,24229,22144,67479,158599,158400,213425,90039,123386,5019,128409,189186,114157,7998,391391,53658,384,19409,131762,47425,464602,152433,312169,155016,131802,44,9,48082,130741,127027,87890,25871,122250,126286,103691,81787,30356,119615,44347,112266,61153,18729,11096,10532,3796,6219,3.4,0.7
Pachuca,665929,348217,317712,23397,30035,61002,32570,33670,465233,78116,516227,482557,171455,91403,48232,32986,10699,118874,287784,196574,343617,156042,187575,7518,215050,238571,102762,10372,491172,74853,1989,94131,199376,70533,663190,211658,451532,287173,199430,21,0,44881,197723,194348,173627,64229,195707,196705,180234,148576,34587,187691,101553,187209,125243,49278,14084,15838,4093,7098,3.0,0.0
Piedras Negras,209456,104146,105310,10795,12061,22759,11118,10872,139642,20248,152423,141551,27261,13225,4911,8120,2241,51231,59530,64871,95815,37451,58364,2004,40505,143658,12112,3490,132444,42770,101,33542,61077,16606,207994,52299,155695,73760,61111,6,0,17043,60750,60660,11758,1301,60414,60540,59500,54720,13356,58707,25915,57066,38934,14243,3913,3360,1394,1617,3.0,0.0
Poza Rica,521530,273353,248177,20350,24281,51181,25555,26291,341806,81782,399985,373694,47890,25487,8964,32279,24949,80964,170468,169069,251040,104407,146633,4130,149147,133588,154480,4960,352614,98505,333,69411,151821,53602,520599,169040,351559,183859,151851,15,3,56535,149118,125362,97008,28815,125826,132569,131778,102397,11791,134572,42594,127267,67874,17323,14968,14717,5635,8147,3.0,0.6
Puebla-Tlaxcala,3199530,1660200,1539330,141970,158768,309350,159344,165283,2183427,360009,2424455,2259172,436806,238097,97596,118887,67085,518335,1211387,968820,1575166,671904,903262,34363,988985,1127381,771340,77822,2658382,259065,6611,265796,859166,285606,3191095,963036,2228059,1049064,859413,145,27,227651,853745,832828,684841,491121,842370,847066,735566,604519,252334,804955,372519,777109,491886,179643,53728,52086,18528,28459,3.7,0.7
Puerto Vallarta,479471,238990,240481,24513,25580,51123,24925,23523,325720,42157,352976,329453,202912,100703,44151,20702,7856,88209,162812,110592,263212,113710,149502,2860,131647,271669,51020,10052,358099,49899,938,69037,141781,48036,478101,157647,320454,199925,141841,6,2,48595,140759,139800,83652,22582,140510,140661,132588,106384,25995,127323,60877,134531,90121,38258,9759,8940,3309,3618,3.0,1.0
Querétaro,1594212,813213,780999,68215,76352,148782,74113,74214,1116435,160986,1221357,1147143,561597,286756,166200,60576,29297,277265,673977,429822,846426,368266,478160,16180,321356,867236,268825,81242,1325660,99122,3494,157583,463744,155556,1589407,494704,1094703,560417,463946,15,2,110974,460644,455679,368188,95237,457173,457945,438674,374331,73217,439086,263323,436269,353149,163547,28581,26735,8372,12468,3.0,0.4
Reynosa,837251,420769,416482,40160,44033,89547,44719,41224,568866,73008,616344,575120,252044,129449,33225,32381,12906,173984,266958,227167,425415,174577,250838,6909,177786,471296,118904,17751,512250,155490,895,164650,255108,79907,835073,245985,589088,323522,255155,6,1,84896,253453,252808,92304,12140,248530,249924,242396,203542,30536,237436,84952,237933,133008,40799,14653,14966,5976,6100,3.0,0.5
Rioverde,146049,75563,70486,7303,7601,15916,7918,7663,91829,21102,107304,99641,10574,5548,2685,8776,6887,32660,33139,44429,69511,27270,42241,709,29109,29176,75238,2787,128350,9135,96,8368,39939,12744,145621,42185,103436,52745,39956,6,1,12384,39258,37732,30391,5098,33836,37235,35923,32781,22741,36028,11102,34214,16518,4029,4457,3470,1323,2029,3.0,0.5
